name,AuthorityId,url,ClearanceAware
GameCms_GetGuide_TitleAuthorization,gamecms,https://gamecms/hi/TitleAuthorization/guide/xo,TRUE
GameCms_GetImage,gamecms,https://gamecms/hi/images/file/{filePath},TRUE
GameCms_GetItem,gamecms,https://gamecms/hi/Progression/file/{itemPath},TRUE
GameCms_GetLobbyErrorMessages,gamecms,https://gamecms/hi/Multiplayer/file/gameStartErrorMessages/LobbyHoppperErrorMessageList.json,TRUE
GameCms_GetMetadata,gamecms,https://gamecms/hi/Progression/file/metadata/metadata.json,TRUE
GameCms_GetNetworkConfiguration,gamecms,https://gamecms/hi/Multiplayer/file/network/config.json,TRUE
GameCms_GetNews,gamecms,https://gamecms/hi/news/file/{filePath},TRUE
GameCms_GetNotAllowedInTitleMessage,gamecms-hacs-noauth,https://gamecms-hacs.svc.halowaypoint.com/branches/hi/OEConfiguration/data/authfail/Default.json,FALSE
GameCms_GetProgressionFile,gamecms,https://gamecms/hi/Progression/file/{filePath},TRUE
GameCms_GetRecommendedDrivers,gamecms,https://gamecms/hi/Specs/file/graphics/RecommendedDrivers.json,TRUE
GameCms_GetSeasonRewardTrack,gamecms,https://gamecms/hi/Progression/file/{seasonPath},TRUE
GameCms_GetSeasonRewardTrackManifest,gamecms,https://gamecms/hi/Progression/file/RewardTracks/Manifest/seasonmanifest.json,TRUE
GameCms_GetStorefronts,gamecms,https://gamecms/hi/Progression/file/Store/storefronts.json,TRUE
GameCms_GetUiConfigurationJson,gamecms,https://gamecms/branches/oly/UI-Settings/data/Settings.json,FALSE
GameCms_Origin,gamecmsOrigin,https://gamecms-hacs.svc.halowaypoint.com://{path},TRUE
HIUGC_CheckAssetPlayerBookmark,HIUGC_Authoring_Authority,https://authoring-infiniteugc.svc.halowaypoint.com/{title}/players/{player}/favorites/{assetType}/{assetId},FALSE
HIUGC_CreateAssetVersionAgnostic,HIUGC_Authoring_Authority,https://authoring-infiniteugc.svc.halowaypoint.com/{title}/{assetType}/{assetId}/versions,FALSE
HIUGC_DeleteAllVersions,HIUGC_Authoring_Authority,https://authoring-infiniteugc.svc.halowaypoint.com/{title}/{assetType}/{assetId}/versions,FALSE
HIUGC_DeleteAsset,HIUGC_Authoring_Authority,https://authoring-infiniteugc.svc.halowaypoint.com/{title}/{assetType}/{assetId},FALSE
HIUGC_DeleteVersion,HIUGC_Authoring_Authority,https://authoring-infiniteugc.svc.halowaypoint.com/{title}/{assetType}/{assetId}/versions/{versionId},FALSE
HIUGC_Discovery_GetCustomGameManifest,HIUGC_Discovery_Authority,https://discovery-infiniteugc.svc.halowaypoint.com/hi/projects/a9dc0785-2a99-4fec-ba6e-0216feaaf041,FALSE
HIUGC_Discovery_GetEngineGameVariant,HIUGC_Discovery_Authority_Open,https://discovery-infiniteugc.svc.halowaypoint.com/hi/engineGameVariants/{assetId}/versions/{versionId},FALSE
HIUGC_Discovery_GetEngineGameVariantWithoutVersion,HIUGC_Discovery_Authority,https://discovery-infiniteugc.svc.halowaypoint.com/hi/engineGameVariants/{assetId},FALSE
HIUGC_Discovery_GetManifest,HIUGC_Discovery_Authority,https://discovery-infiniteugc.svc.halowaypoint.com/hi/manifests/{assetId}/versions/{versionId}},TRUE
HIUGC_Discovery_GetManifestByBranch,HIUGC_Discovery_Authority,https://discovery-infiniteugc.svc.halowaypoint.com/hi/manifests/branches/{branchName}/game,FALSE
HIUGC_Discovery_GetManifestByBuild,HIUGC_Discovery_Authority,https://discovery-infiniteugc.svc.halowaypoint.com/hi/manifests/builds/{buildNumber}/game,FALSE
HIUGC_Discovery_GetManifestWithoutVersion,HIUGC_Discovery_Authority,https://discovery-infiniteugc.svc.halowaypoint.com/hi/manifests/{assetId},FALSE
HIUGC_Discovery_GetMap,HIUGC_Discovery_Authority_Open,https://discovery-infiniteugc.svc.halowaypoint.com/hi/maps/{assetId}/versions/{versionId},FALSE
HIUGC_Discovery_GetMapModePair,HIUGC_Discovery_Authority,https://discovery-infiniteugc.svc.halowaypoint.com/hi/mapModePairs/{assetId}/versions/{versionId},TRUE
HIUGC_Discovery_GetMapModePairWithoutVersion,HIUGC_Discovery_Authority,https://discovery-infiniteugc.svc.halowaypoint.com/hi/mapModePairs/{assetId},FALSE
HIUGC_Discovery_GetMapWithoutVersion,HIUGC_Discovery_Authority,https://discovery-infiniteugc.svc.halowaypoint.com/hi/maps/{assetId},FALSE
